threshold,TP,FN,FP,TN,Precision,Recall,F1,FPR,FNR
0.0005121386904761905,1,99,0,100,1.0,0.01,0.019801980198019802,0.0,0.99
0.0009299731857514467,12,88,0,100,1.0,0.12,0.21428571428571425,0.0,0.88
0.0013478076810267028,25,75,0,100,1.0,0.25,0.4,0.0,0.75
0.0017656421763019591,32,68,1,99,0.9696969696969697,0.32,0.48120300751879697,0.01,0.68
0.002183476671577215,39,61,6,94,0.8666666666666667,0.39,0.5379310344827586,0.06,0.61
0.0026013111668524713,44,56,10,90,0.8148148148148148,0.44,0.5714285714285714,0.1,0.56
0.0030191456621277276,47,53,12,88,0.7966101694915254,0.47,0.5911949685534592,0.12,0.53
0.0034369801574029835,49,51,18,82,0.7313432835820896,0.49,0.5868263473053892,0.18,0.51
0.00385481465267824,50,50,24,76,0.6756756756756757,0.5,0.5747126436781609,0.24,0.5
0.004272649147953496,56,44,27,73,0.6746987951807228,0.56,0.6120218579234973,0.27,0.44
0.004690483643228752,59,41,28,72,0.6781609195402298,0.59,0.6310160427807486,0.28,0.41
0.005108318138504008,60,40,29,71,0.6741573033707865,0.6,0.6349206349206349,0.29,0.4
0.005526152633779265,61,39,31,69,0.6630434782608695,0.61,0.6354166666666666,0.31,0.39
0.005943987129054521,62,38,32,68,0.6595744680851063,0.62,0.6391752577319586,0.32,0.38
0.006361821624329776,62,38,34,66,0.6458333333333334,0.62,0.6326530612244898,0.34,0.38
0.006779656119605033,63,37,35,65,0.6428571428571429,0.63,0.6363636363636364,0.35,0.37
0.007197490614880289,65,35,35,65,0.65,0.65,0.65,0.35,0.35
0.007615325110155545,67,33,35,65,0.6568627450980392,0.67,0.6633663366336634,0.35,0.33
0.0080331596054308,68,32,35,65,0.6601941747572816,0.68,0.6699507389162562,0.35,0.32
0.008450994100706058,69,31,35,65,0.6634615384615384,0.69,0.6764705882352942,0.35,0.31
0.008868828595981313,70,30,35,65,0.6666666666666666,0.7,0.6829268292682926,0.35,0.3
0.00928666309125657,71,29,35,65,0.6698113207547169,0.71,0.6893203883495145,0.35,0.29
0.009704497586531826,72,28,35,65,0.6728971962616822,0.72,0.6956521739130436,0.35,0.28
0.010122332081807081,72,28,36,64,0.6666666666666666,0.72,0.6923076923076923,0.36,0.28
0.010540166577082339,73,27,36,64,0.6697247706422018,0.73,0.6985645933014354,0.36,0.27
0.010958001072357594,74,26,36,64,0.6727272727272727,0.74,0.7047619047619048,0.36,0.26
0.011375835567632851,74,26,38,62,0.6607142857142857,0.74,0.6981132075471698,0.38,0.26
0.011793670062908107,74,26,39,61,0.6548672566371682,0.74,0.6948356807511737,0.39,0.26
0.012211504558183362,74,26,41,59,0.6434782608695652,0.74,0.6883720930232557,0.41,0.26
0.01262933905345862,76,24,42,58,0.6440677966101694,0.76,0.6972477064220184,0.42,0.24
0.013047173548733875,78,22,43,57,0.6446280991735537,0.78,0.7058823529411764,0.43,0.22
0.013465008044009132,78,22,48,52,0.6190476190476191,0.78,0.6902654867256637,0.48,0.22
0.013882842539284387,78,22,49,51,0.6141732283464567,0.78,0.6872246696035242,0.49,0.22
0.014300677034559643,79,21,49,51,0.6171875,0.79,0.6929824561403509,0.49,0.21
0.0147185115298349,79,21,49,51,0.6171875,0.79,0.6929824561403509,0.49,0.21
0.015136346025110155,81,19,49,51,0.6230769230769231,0.81,0.7043478260869566,0.49,0.19
0.015554180520385413,81,19,49,51,0.6230769230769231,0.81,0.7043478260869566,0.49,0.19
0.015972015015660666,82,18,49,51,0.6259541984732825,0.82,0.70995670995671,0.49,0.18
0.016389849510935924,83,17,49,51,0.6287878787878788,0.83,0.7155172413793103,0.49,0.17
0.016807684006211177,84,16,51,49,0.6222222222222222,0.84,0.7148936170212766,0.51,0.16
0.017225518501486434,86,14,51,49,0.6277372262773723,0.86,0.7257383966244725,0.51,0.14
0.01764335299676169,86,14,51,49,0.6277372262773723,0.86,0.7257383966244725,0.51,0.14
0.01806118749203695,86,14,51,49,0.6277372262773723,0.86,0.7257383966244725,0.51,0.14
0.018479021987312202,87,13,51,49,0.6304347826086957,0.87,0.7310924369747899,0.51,0.13
0.01889685648258746,88,12,51,49,0.6330935251798561,0.88,0.7364016736401673,0.51,0.12
0.019314690977862717,88,12,51,49,0.6330935251798561,0.88,0.7364016736401673,0.51,0.12
0.01973252547313797,89,11,51,49,0.6357142857142857,0.89,0.7416666666666666,0.51,0.11
0.020150359968413228,89,11,51,49,0.6357142857142857,0.89,0.7416666666666666,0.51,0.11
0.020568194463688485,89,11,51,49,0.6357142857142857,0.89,0.7416666666666666,0.51,0.11
0.02098602895896374,89,11,51,49,0.6357142857142857,0.89,0.7416666666666666,0.51,0.11
0.021403863454238996,90,10,51,49,0.6382978723404256,0.9,0.7468879668049793,0.51,0.1
0.021821697949514253,91,9,54,46,0.6275862068965518,0.91,0.7428571428571429,0.54,0.09
0.02223953244478951,91,9,54,46,0.6275862068965518,0.91,0.7428571428571429,0.54,0.09
0.022657366940064764,91,9,54,46,0.6275862068965518,0.91,0.7428571428571429,0.54,0.09
0.02307520143534002,91,9,54,46,0.6275862068965518,0.91,0.7428571428571429,0.54,0.09
0.023493035930615278,91,9,54,46,0.6275862068965518,0.91,0.7428571428571429,0.54,0.09
0.023910870425890532,91,9,54,46,0.6275862068965518,0.91,0.7428571428571429,0.54,0.09
0.02432870492116579,91,9,54,46,0.6275862068965518,0.91,0.7428571428571429,0.54,0.09
0.024746539416441046,91,9,55,45,0.6232876712328768,0.91,0.7398373983739838,0.55,0.09
0.0251643739117163,91,9,55,45,0.6232876712328768,0.91,0.7398373983739838,0.55,0.09
0.025582208406991557,91,9,55,45,0.6232876712328768,0.91,0.7398373983739838,0.55,0.09
0.026000042902266814,91,9,55,45,0.6232876712328768,0.91,0.7398373983739838,0.55,0.09
0.02641787739754207,94,6,57,43,0.6225165562913907,0.94,0.7490039840637449,0.57,0.06
0.026835711892817325,94,6,57,43,0.6225165562913907,0.94,0.7490039840637449,0.57,0.06
0.027253546388092582,94,6,57,43,0.6225165562913907,0.94,0.7490039840637449,0.57,0.06
0.02767138088336784,94,6,57,43,0.6225165562913907,0.94,0.7490039840637449,0.57,0.06
0.028089215378643093,94,6,57,43,0.6225165562913907,0.94,0.7490039840637449,0.57,0.06
0.02850704987391835,94,6,57,43,0.6225165562913907,0.94,0.7490039840637449,0.57,0.06
0.028924884369193608,94,6,59,41,0.6143790849673203,0.94,0.7430830039525692,0.59,0.06
0.029342718864468865,94,6,59,41,0.6143790849673203,0.94,0.7430830039525692,0.59,0.06
0.02976055335974412,94,6,59,41,0.6143790849673203,0.94,0.7430830039525692,0.59,0.06
0.030178387855019376,94,6,60,40,0.6103896103896104,0.94,0.7401574803149605,0.6,0.06
0.030596222350294633,94,6,60,40,0.6103896103896104,0.94,0.7401574803149605,0.6,0.06
0.031014056845569887,94,6,60,40,0.6103896103896104,0.94,0.7401574803149605,0.6,0.06
0.03143189134084515,95,5,63,37,0.6012658227848101,0.95,0.7364341085271318,0.63,0.05
0.031849725836120404,95,5,63,37,0.6012658227848101,0.95,0.7364341085271318,0.63,0.05
0.03226756033139566,95,5,65,35,0.59375,0.95,0.7307692307692308,0.65,0.05
0.03268539482667092,95,5,65,35,0.59375,0.95,0.7307692307692308,0.65,0.05
0.03310322932194617,95,5,66,34,0.5900621118012422,0.95,0.7279693486590039,0.66,0.05
0.033521063817221426,95,5,66,34,0.5900621118012422,0.95,0.7279693486590039,0.66,0.05
0.03393889831249668,95,5,66,34,0.5900621118012422,0.95,0.7279693486590039,0.66,0.05
0.03435673280777194,95,5,66,34,0.5900621118012422,0.95,0.7279693486590039,0.66,0.05
0.0347745673030472,95,5,67,33,0.5864197530864198,0.95,0.7251908396946565,0.67,0.05
0.035192401798322455,95,5,67,33,0.5864197530864198,0.95,0.7251908396946565,0.67,0.05
0.03561023629359771,95,5,68,32,0.5828220858895705,0.95,0.7224334600760456,0.68,0.05
0.03602807078887296,96,4,69,31,0.5818181818181818,0.96,0.7245283018867924,0.69,0.04
0.03644590528414822,96,4,69,31,0.5818181818181818,0.96,0.7245283018867924,0.69,0.04
0.03686373977942348,96,4,69,31,0.5818181818181818,0.96,0.7245283018867924,0.69,0.04
0.037281574274698734,96,4,69,31,0.5818181818181818,0.96,0.7245283018867924,0.69,0.04
0.03769940876997399,96,4,69,31,0.5818181818181818,0.96,0.7245283018867924,0.69,0.04
0.03811724326524925,96,4,69,31,0.5818181818181818,0.96,0.7245283018867924,0.69,0.04
0.0385350777605245,96,4,69,31,0.5818181818181818,0.96,0.7245283018867924,0.69,0.04
0.038952912255799756,96,4,69,31,0.5818181818181818,0.96,0.7245283018867924,0.69,0.04
0.03937074675107501,96,4,69,31,0.5818181818181818,0.96,0.7245283018867924,0.69,0.04
0.03978858124635027,96,4,69,31,0.5818181818181818,0.96,0.7245283018867924,0.69,0.04
